"filename", "language", "C++", "YAML", "Dart", "JSON", "Swift", "Markdown", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\shared\bottom_nav.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 3, 50
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\shared\error.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\shared\loading.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\shared\progress_bar.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 11, 98
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\shared\shared.dart", "Dart", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\theme.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\topics\drawer.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 1, 8, 106
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\topics\topic_item.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 6, 87
"c:\Users\ivanm\Desktop\Flutter\quizz_app\lib\topics\topics.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\ivanm\Desktop\Flutter\quizz_app\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\ivanm\Desktop\Flutter\quizz_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ivanm\Desktop\Flutter\quizz_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ivanm\Desktop\Flutter\quizz_app\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\ivanm\Desktop\Flutter\quizz_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ivanm\Desktop\Flutter\quizz_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Users\ivanm\Desktop\Flutter\quizz_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ivanm\Desktop\Flutter\quizz_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ivanm\Desktop\Flutter\quizz_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\ivanm\Desktop\Flutter\quizz_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ivanm\Desktop\Flutter\quizz_app\pubspec.yaml", "YAML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 56
"c:\Users\ivanm\Desktop\Flutter\quizz_app\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\ivanm\Desktop\Flutter\quizz_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"c:\Users\ivanm\Desktop\Flutter\quizz_app\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ivanm\Desktop\Flutter\quizz_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 529, 46, 1139, 302, 44, 13, 38, 466, 8, 93, 244, 405, 3327
